year,country,historical_name,transition_group,team_score,total_medals,avg_score,best_rank,transition_status
1962,India,India,No Change,167,5,27.833333333333332,5,Stable
1962,Indonesia,Indonesia,No Change,111,4,18.5,47,Stable
1962,Iraq,Iraq,No Change,50,2,10,238,Stable
1962,Ireland,Ireland,No Change,67,0,11.166666666666666,327,Stable
1962,Islamic Republic of Iran,Islamic Republic of Iran,No Change,137,5,22.833333333333332,29,Stable
1962,Israel,Israel,No Change,142,6,23.666666666666668,19,Stable
1962,Italy,Italy,No Change,143,6,23.833333333333332,47,Stable
1962,Ivory Coast,Ivory Coast,No Change,19,0,3.1666666666666665,511,Stable
1962,Japan,Japan,No Change,143,5,23.833333333333332,4,Stable
1962,Kazakhstan,Kazakhstan,No Change,127,5,21.166666666666668,59,Stable
1962,Kenya,Kenya,No Change,7,0,1.4,533,Stable
1962,Kosovo,Kosovo,No Change,48,0,8,434,Stable
1962,Kyrgyzstan,Kyrgyzstan,No Change,122,4,20.333333333333332,47,Stable
1962,Latvia,Latvia,No Change,87,2,14.5,182,Stable
1962,Liechtenstein,Liechtenstein,No Change,14,0,14,366,Stable
1962,Lithuania,Lithuania,No Change,94,3,18.8,11,Stable
1962,Luxembourg,Luxembourg,No Change,60,1,10,283,Stable
1962,Macau,Macau,No Change,56,0,9.333333333333334,366,Stable
1962,Malaysia,Malaysia,No Change,118,6,19.666666666666668,59,Stable
1962,Mexico,Mexico,No Change,129,5,21.5,19,Stable
1962,Mongolia,Mongolia,No Change,142,6,23.666666666666668,47,Stable
1962,Myanmar,Myanmar,No Change,30,0,5,457,Stable
1962,Nepal,Nepal,No Change,28,0,4.666666666666667,425,Stable
1962,Netherlands,Netherlands,No Change,109,5,18.166666666666668,59,Stable
1962,New Zealand,New Zealand,No Change,120,6,20,125,Stable
1962,Nicaragua,Nicaragua,No Change,16,1,16,283,Stable
1962,North Macedonia,North Macedonia,No Change,107,3,17.833333333333332,19,Stable
1962,Norway,Norway,No Change,85,3,14.166666666666666,238,Stable
1962,Oman,Oman,No Change,4,0,0.6666666666666666,551,Stable
1962,Pakistan,Pakistan,No Change,64,2,10.666666666666666,100,Stable
1962,Panama,Panama,No Change,10,0,10,434,Stable
1962,Paraguay,Paraguay,No Change,20,0,5,434,Stable
1962,People's Republic of China,People's Republic of China,No Change,190,6,31.666666666666668,1,Stable
1962,Peru,Peru,No Change,122,5,20.333333333333332,59,Stable
